transcript	gene	chr	amino_acids	genomic_start	genomic_end	obs_mis	exp_mis	obs_exp	chisq_diff_null	region_name
ENST00000358102.3	NR3C2	4	603-985	149181220	149002495	50	122.9056269	0.406816199	43.24643684	NR3C2_2
ENST00000264230.4	NOA1	4	1-339	57843751	57842735	121	207.0597732	0.58437232	35.76882387	NOA1_1
ENST00000295888.4	WDFY3	4	1-140	85781744	85758238	20	53.62059588	0.372991006	21.080416	WDFY3_1
ENST00000295888.4	WDFY3	4	2157-2616	85660268	85638076	77	158.251531	0.486567173	41.7172033	WDFY3_3
ENST00000295888.4	WDFY3	4	2617-3016	85638075	85614039	30	123.6028438	0.242712862	70.88422963	WDFY3_4
ENST00000359052.4	SMARCAD1	4	490-1029	95186044	95210685	70	159.9912248	0.437523996	50.61790454	SMARCAD1_2
ENST00000381006.3	RUFY3	4	1-384	71588291	71654603	50	110.1567857	0.453898502	32.85171076	RUFY3_1
ENST00000040738.5	BOD1L1	4	1-106	13629211	13621617	7	36.15150707	0.193629549	23.50691391	BOD1L1_1
ENST00000336812.4	DHX15	4	129-796	24577988	24529547	32	211.7781338	0.15110153	152.6133828	DHX15_2
ENST00000394427.2	QRFPR	4	1-209	122301802	122254146	55	93.0504726	0.591077062	15.55971104	QRFPR_1
ENST00000358602.4	ANKRD17	4	1-710	74124385	74008058	97	242.2747689	0.400371861	87.11083939	ANKRD17_1
ENST00000358602.4	ANKRD17	4	1173-1525	73987452	73964236	26	100.3463781	0.259102526	55.08304378	ANKRD17_3
ENST00000335585.5	PPP2R2C	4	24-448	6383504	6325029	71	198.1903218	0.358241509	81.62546892	PPP2R2C_2
ENST00000316423.6	UGDH	4	212-361	39512002	39506945	10	42.8221453	0.233524031	36.55488481	UGDH_2
ENST00000296526.7	GRIA2	4	455-884	158256919	158284196	36	135.2356163	0.266202063	72.81889053	GRIA2_2
ENST00000264389.2	COPS4	4	34-407	83966804	83996583	39	113.5475609	0.343468408	48.9428288	COPS4_2
ENST00000425175.1	SLC4A4	4	839-1018	72412139	72425926	15	58.13482105	0.25802092	45.62820371	SLC4A4_2
ENST00000263923.4	KDR	4	969-1102	55961035	55955639	17	44.02819394	0.386116224	21.70141478	KDR_2
ENST00000507866.2	SORCS2	4	1-134	7194374	7194775	1	36.45246706	0.027432985	34.47990005	SORCS2_1
ENST00000264424.8	GUCY1B3	4	1-161	156680293	156711051	17	52.56790766	0.323391224	32.75347137	GUCY1B3_1
ENST00000318442.5	ZNF366	5	419-519	71756069	71743212	14	42.48048799	0.329563069	25.881325	ZNF366_2
ENST00000511689.1	H2AFY	5	1-117	134724783	134705222	3	49.94048817	0.060071499	44.12070267	H2AFY_1
ENST00000297151.4	SLU7	5	235-402	159835452	159833556	10	43.03242065	0.23238293	36.87746716	SLU7_2
ENST00000200652.3	SLC22A4	5	1-137	131630310	131647871	35	76.68903253	0.456388597	22.66263345	SLC22A4_1
ENST00000283441.8	ZDHHC11	5	80-209	848760	843716	0	40.27409193	0	40.27409193	ZDHHC11_2
ENST00000296921.5	TLX3	5	88-240	170736631	170738447	22	78.52299343	0.280172712	57.06262917	TLX3_2
ENST00000334082.6	HOMER1	5	1-105	78808597	78742948	6	32.17858096	0.186459434	32.20266303	HOMER1_1
ENST00000334082.6	HOMER1	5	159-355	78734885	78671832	22	55.76769084	0.394493652	26.60868351	HOMER1_3
ENST00000199814.4	RBM22	5	1-332	150080547	150072785	41	116.6258223	0.351551648	49.03943987	RBM22_1
ENST00000408996.4	TICAM2	5	1-236	114961489	114916753	41	80.12567755	0.511696141	19.10521933	TICAM2_1
ENST00000325110.6	HMGCS1	5	1-437	43299067	43292738	54	122.6522726	0.440269054	38.42680147	HMGCS1_1
ENST00000361189.2	PJA2	5	560-709	108691702	108672932	19	45.94086283	0.413575167	15.798791	PJA2_2
ENST00000274376.6	RASA1	5	179-1048	86564803	86686700	154	278.0124516	0.553932024	55.31798326	RASA1_2
ENST00000302763.7	CTNNA1	5	276-907	138160456	138269778	104	234.6841274	0.443148845	72.7716073	CTNNA1_2
ENST00000274721.3	GFRA3	5	140-302	137595300	137589573	28	74.13552319	0.377686685	37.74438944	GFRA3_2
ENST00000265107.4	WDR70	5	472-627	37703187	37752591	20	63.63297741	0.314302439	40.96997182	WDR70_2
ENST00000253496.3	F12	5	143-504	176832157	176830274	97	177.5969611	0.546180517	43.86160844	F12_2
ENST00000274289.3	PLK2	5	121-280	57754829	57753176	6	44.07151353	0.136142363	52.21437723	PLK2_2
ENST00000274289.3	PLK2	5	281-686	57753175	57750410	70	119.8711924	0.583960154	24.43323093	PLK2_3
ENST00000401695.3	RPS14	5	1-128	149827296	149825176	19	48.40998632	0.392481003	17.86712539	RPS14_1
ENST00000401695.3	RPS14	5	129-152	149825175	149823849	0	17.01426564	0	17.01426564	RPS14_2
ENST00000265070.6	GOLPH3	5	1-120	32174140	32135790	16	54.7431869	0.292273814	27.41956792	GOLPH3_1
ENST00000394894.3	KIF20A	5	1-70	137515370	137517155	10	27.48590194	0.36382288	11.12413074	KIF20A_1
ENST00000338316.4	ADCY2	5	1-791	7396410	7773203	181	321.4979169	0.562989651	61.39904374	ADCY2_1
ENST00000338316.4	ADCY2	5	792-1092	7773204	7826984	30	113.4423658	0.264451466	61.3759098	ADCY2_2
ENST00000265094.5	FBXW11	5	72-543	171337735	171295639	44	169.3723678	0.259782635	92.80280373	FBXW11_2
ENST00000230640.5	SKIV2L2	5	477-610	54646855	54674161	9	42.56227542	0.21145486	39.1571637	SKIV2L2_2
ENST00000439211.2	DHFR	5	1-29	79950308	79949876	1	14.57621773	0.068604903	12.64482264	DHFR_1
ENST00000382611.6	IRX2	5	1-173	2751527	2749632	17	71.31899528	0.238365669	41.37121165	IRX2_1
ENST00000512097.3	KCNN2	5	121-484	113698833	113829169	38	126.7028987	0.299914212	62.09963874	KCNN2_2
ENST00000254900.5	BRD8	5	1-99	137514303	137506789	13	38.87215235	0.334429642	17.2197377	BRD8_1
ENST00000254900.5	BRD8	5	609-859	137500009	137495244	19	74.81078812	0.253974065	41.63629536	BRD8_3
ENST00000255194.6	AP3B1	5	1-261	77590403	77511882	50	83.54562541	0.598475381	13.46939446	AP3B1_1
ENST00000306675.3	ADRA1B	5	368-521	159399038	159399499	6	87.94661432	0.068223206	76.35595356	ADRA1B_2
ENST00000344204.4	TRIO	5	1-2179	14143835	14482762	399	783.8365755	0.50903468	188.9414126	TRIO_1
ENST00000306315.5	ZNF608	5	315-448	124036926	123984733	22	53.62648609	0.410245041	24.04894419	ZNF608_2
ENST00000230859.6	PAPD7	5	1-302	6737657	6749739	46	114.6378845	0.401263511	41.09600602	PAPD7_1
ENST00000265080.4	RASGRF2	5	1-512	80256558	80388765	95	187.2195928	0.507425524	45.42501756	RASGRF2_1
ENST00000355237.2	OCLN	5	297-523	68809934	68849498	0	51.24925991	0	51.24925991	OCLN_2
ENST00000518783.1	GRIA1	5	416-917	153077685	153190785	62	190.0126264	0.326294106	86.24286092	GRIA1_2
ENST00000284268.6	ANKH	5	1-426	14871556	14713070	83	172.5763315	0.480946601	46.49489933	ANKH_1
ENST00000264938.3	SLC9A3	5	1-549	524437	479951	116	233.4868589	0.496815969	59.11751127	SLC9A3_1
ENST00000505374.1	DDX4	5	454-656	55088526	55110981	19	66.94687026	0.283807143	34.33920598	DDX4_2
ENST00000395965.3	FAM172A	5	302-417	93159856	92956693	26	49.94755068	0.520546046	11.48174787	FAM172A_2
ENST00000304858.2	HSPA4	5	1-53	132387943	132400723	3	22.56469162	0.132951075	16.96354484	HSPA4_1
ENST00000523908.1	CLINT1	5	1-167	157285978	157240087	24	51.9894064	0.461632507	15.06858656	CLINT1_1
ENST00000354283.4	DDX46	5	1-6	134094629	134099594	0	6.422644626	0	12.84528925	DDX46_1
ENST00000354283.4	DDX46	5	7-406	134099595	134120107	66	135.6616274	0.486504558	44.21606552	DDX46_2
ENST00000354283.4	DDX46	5	407-1032	134120108	134164396	47	181.7141856	0.258647941	142.3133516	DDX46_3
ENST00000378679.3	SHROOM1	5	1-214	132161832	132161191	29	97.22805149	0.298267831	47.87781858	SHROOM1_1
ENST00000394805.3	MATR3	5	1-623	138643105	138658377	85	184.4434875	0.460845765	53.61537746	MATR3_1
ENST00000289269.5	PCDHAC2	5	1-448	140346352	140347695	111	225.0033637	0.493325958	57.76254507	PCDHAC2_1
ENST00000438447.1	PDZD2	5	733-820	32058206	32069683	16	37.64783391	0.42499125	15.91369348	PDZD2_2
ENST00000407818.3	KIF2A	5	1-406	61602300	61659103	46	92.0619691	0.499663438	28.29244935	KIF2A_1
ENST00000407818.3	KIF2A	5	407-497	61659104	61661093	0	24.99170912	0	49.98341823	KIF2A_2
ENST00000407818.3	KIF2A	5	498-745	61661094	61681396	38	66.65933711	0.570062675	14.6059926	KIF2A_3
ENST00000353963.3	SLC23A1	5	92-435	138717615	138713927	65	118.8481271	0.546916486	29.24656267	SLC23A1_2
ENST00000282382.4	TMED7-TICAM2	5	1-236	114961489	114916753	41	80.12567755	0.511696141	19.10521933	TMED7-TICAM2_1
ENST00000296953.2	CREBRF	5	365-640	172518275	172560748	29	79.07201381	0.366754286	31.70788812	CREBRF_2
ENST00000507955.1	DDX41	5	319-623	176940829	176938792	51	136.4930081	0.373645513	53.54892928	DDX41_2
ENST00000239938.4	EGR1	5	314-544	137803078	137803770	42	112.7432463	0.372527858	44.38941629	EGR1_2
ENST00000341199.6	SIMC1	5	1-157	175665512	175740732	13	31.09094451	0.418128179	10.52661083	SIMC1_1
ENST00000264914.4	ARSB	5	1-54	78281071	78280910	4	24.35604956	0.164230246	17.01297054	ARSB_1
ENST00000296802.5	NSA2	5	1-71	74063186	74065060	9	28.89742277	0.311446459	13.70044091	NSA2_1
ENST00000282356.4	CAMK4	5	1-340	110560182	110819762	70	123.6234798	0.566235477	23.25996313	CAMK4_1
ENST00000296824.3	CCDC127	5	1-52	216964	206039	1	14.35353525	0.069669248	12.4232045	CCDC127_1
ENST00000274140.5	MARCH6	5	1-115	10354011	10387116	6	38.30325491	0.156644651	27.24312281	MARCH6_1
ENST00000274140.5	MARCH6	5	116-911	10387117	10433796	156	263.3165153	0.5924429	43.73760776	MARCH6_2
ENST00000303230.4	HCN1	5	1-592	45696195	45267198	44	214.8072655	0.204834785	135.8199961	HCN1_1
ENST00000274487.4	ADAMTS19	5	1-190	128796103	128797291	20	93.80214609	0.213214738	58.06644085	ADAMTS19_1
ENST00000274487.4	ADAMTS19	5	1038-1208	129037256	129072911	32	62.83307521	0.509285912	15.13022439	ADAMTS19_3
ENST00000296755.7	MAP1B	5	1-365	71403359	71490277	64	128.1465849	0.499428058	32.10998063	MAP1B_1
ENST00000414552.2	GABRG2	5	65-402	161520919	161576277	26	97.20660027	0.26747155	73.83861263	GABRG2_2
ENST00000265343.5	AFF4	5	912-1164	132223851	132216751	27	71.68067992	0.376670534	27.85078435	AFF4_2
ENST00000281631.5	PARP8	5	488-855	50092849	50137902	60	111.063861	0.540229733	23.47764498	PARP8_2
ENST00000521381.1	PIK3R1	5	326-725	67588146	67593429	47	128.3564449	0.366167823	51.56633257	PIK3R1_2
ENST00000455880.2	GLRA1	5	19-304	151304056	151230951	47	99.60801809	0.471849565	27.78494764	GLRA1_2
ENST00000509634.1	ZNF131	5	21-82	43122216	43139286	2	21.99879373	0.090914076	30.40622569	ZNF131_2
ENST00000274547.2	GABRB2	5	1-318	160973649	160758013	32	104.197995	0.307107637	50.02543935	GABRB2_1
ENST00000428797.2	GABRA1	5	1-242	161277817	161317926	33	85.2238769	0.387215428	32.00198604	GABRA1_1
ENST00000428797.2	GABRA1	5	243-356	161317927	161324125	1	29.7059326	0.033663309	27.73959591	GABRA1_2
ENST00000398557.4	DIAPH1	5	1-364	140998481	140957863	62	111.7370223	0.554874282	26.43634457	DIAPH1_1
ENST00000302472.3	PTGER4	5	1-334	40681096	40692015	60	186.8251655	0.321155878	86.09451813	PTGER4_1
ENST00000286307.5	LSM11	5	1-194	157170759	157178531	42	91.85832702	0.457225832	27.06181197	LSM11_1
ENST00000381937.4	NADK2	5	1-53	36241900	36241742	0	17.96915754	0	17.96915754	NADK2_1
ENST00000286301.3	CSF1R	5	771-853	149436858	149434895	5	36.93003328	0.135391159	43.86419438	CSF1R_2
ENST00000354209.3	PRKAA1	5	148-238	40771932	40767720	2	23.71930911	0.084319488	33.54604916	PRKAA1_2
ENST00000508859.2	ZDHHC11B	5	85-213	766815	751270	0	23.88809123	0	47.77618247	ZDHHC11B_2
ENST00000511367.2	DROSHA	5	471-1375	31511163	31401539	108	284.8066513	0.379204627	109.760751	DROSHA_2
ENST00000513104.1	TRPC7	5	1-345	135700942	135610454	93	174.1337587	0.534072202	45.60380893	TRPC7_1
ENST00000378731.1	CCNI2	5	1-165	132083188	132084104	15	45.76464622	0.327763923	20.68110507	CCNI2_1
ENST00000265069.8	ZFR	5	1-430	32444764	32403437	46	125.1215504	0.367642503	66.18382783	ZFR_1
ENST00000265069.8	ZFR	5	554-1075	32400165	32355866	98	185.3152111	0.528828688	49.76063706	ZFR_3
ENST00000284049.3	CHD1	5	325-1508	98235296	98195676	151	321.1864905	0.470131853	90.17640033	CHD1_2
ENST00000313708.6	EBF1	5	1-376	158526486	158141188	65	162.04283	0.401128516	58.1161836	EBF1_1
ENST00000398376.3	CAMK2A	5	1-356	149669188	149610942	19	130.0518915	0.14609553	94.8277066	CAMK2A_1
ENST00000398376.3	CAMK2A	5	357-490	149610941	149602273	27	67.22159694	0.401656629	24.06632591	CAMK2A_2
ENST00000231509.3	NR3C1	5	427-779	142693639	142661454	35	99.60110986	0.351401707	41.9001696	NR3C1_2
ENST00000340208.5	MEF2C	5	1-109	88119605	88056934	6	46.4010456	0.129307431	56.25534091	MEF2C_1
ENST00000340208.5	MEF2C	5	141-484	88056840	88018421	29	106.6637742	0.271882373	79.78917428	MEF2C_3
ENST00000305031.4	CHSY3	5	1-271	129240523	129243780	51	139.0928853	0.366661457	55.79261961	CHSY3_1
ENST00000518802.1	RNF145	5	227-572	158603672	158588274	30	110.1074986	0.272461007	58.28132883	RNF145_2
ENST00000274773.7	TRIM7	5	1-168	180632110	180631607	12	44.81063487	0.267793573	24.02415774	TRIM7_1
ENST00000265073.4	SUB1	5	58-128	32591768	32601190	3	21.7117042	0.138174322	16.12622716	SUB1_2
ENST00000314358.5	KDM3B	5	1381-1762	137759932	137771389	27	119.9799621	0.225037577	72.05597669	KDM3B_2
ENST00000296930.5	NPM1	5	1-152	170814953	170819817	12	46.3170047	0.259084111	25.42601404	NPM1_1
ENST00000261799.4	PDGFRB	5	492-637	149509425	149504291	28	70.08729424	0.399501797	32.79251561	PDGFRB_2
ENST00000323249.3	PRR7	5	1-147	176882069	176882738	10	77.02458256	0.129828682	58.32286938	PRR7_1
ENST00000323249.3	PRR7	5	148-275	176882739	176883122	31	64.22631943	0.482668169	17.18903267	PRR7_2
ENST00000262461.2	SLC12A2	5	1-836	127419647	127497384	173	294.8466652	0.586745656	50.35366366	SLC12A2_1
ENST00000311601.5	SH3PXD2B	5	1-127	171881356	171809060	28	53.24318739	0.525888877	11.96807594	SH3PXD2B_1
ENST00000394370.3	FBXO38	5	813-1114	147812995	147821710	61	107.3538335	0.568214455	23.74638984	FBXO38_3
ENST00000357387.3	RICTOR	5	1-256	39074479	38978738	34	80.97739807	0.419870245	27.25298642	RICTOR_1
ENST00000264664.4	FGF10	5	77-209	44388556	44305097	11	39.27277827	0.280092229	20.35379279	FGF10_2
ENST00000510461.1	FNIP1	5	1078-1167	130987569	130980378	8	26.58759893	0.300892157	17.95914411	FNIP1_3
ENST00000545279.1	SMAD5	5	1-146	135489450	135496579	15	42.87297294	0.349870769	24.24020313	SMAD5_1
ENST00000545279.1	SMAD5	5	275-465	135508170	135513168	22	56.57730666	0.388848485	27.59373092	SMAD5_3
ENST00000382085.3	AMACR	5	1-106	34008124	34005934	30	56.93948689	0.526875138	12.74574102	AMACR_1
ENST00000282516.8	NIPBL	5	1-56	36953799	36955677	3	17.49453608	0.171482112	12.00898242	NIPBL_1
ENST00000282516.8	NIPBL	5	1041-2805	36986403	37064994	240	509.5339667	0.471018648	142.5784422	NIPBL_3
ENST00000264670.6	NSUN2	5	120-325	6631987	6616886	43	74.88809476	0.574190065	16.06383554	NSUN2_2
ENST00000321521.9	PPIP5K2	5	64-921	102469232	102515730	123	255.2514715	0.481877731	68.52243245	PPIP5K2_2
ENST00000334121.6	SREK1	5	1-297	65440205	65460615	31	89.53251327	0.346242933	38.2660442	SREK1_1
ENST00000264933.4	PDCD6	5	34-73	271935	306727	0	13.21769923	0	26.43539846	PDCD6_2
ENST00000253754.3	PDLIM4	5	264-331	131607719	131607922	16	40.32143198	0.396811304	19.06544264	PDLIM4_3
ENST00000481195.1	PPP2CA	5	50-310	133541777	133533463	4	93.20304452	0.042917053	85.37471273	PPP2CA_2
ENST00000304623.8	CTNND2	5	191-305	11397184	11385039	7	63.99709714	0.109379961	83.01320822	CTNND2_2
ENST00000292599.3	MAML1	5	1-106	179160114	179192329	1	18.19974611	0.054945821	16.25469193	MAML1_1
ENST00000265272.5	JAKMIP2	5	470-811	147019317	146971229	31	97.33113755	0.318500336	45.20464796	JAKMIP2_2
ENST00000399503.3	MAP3K1	5	1327-1513	56180650	56189507	19	56.35966729	0.337120514	24.76495705	MAP3K1_2
ENST00000310389.5	ARL10	5	1-64	175792567	175793391	0	13.81157786	0	13.81157786	ARL10_1
ENST00000521420.1	CYFIP2	5	1-909	156712372	156786144	114	314.7108761	0.362237243	169.8978035	CYFIP2_1
ENST00000521420.1	CYFIP2	5	910-998	156786145	156809630	2	28.32771837	0.070602227	42.05266237	CYFIP2_2
ENST00000395003.1	PHF15	5	1-620	133871548	133914494	139	253.6605565	0.547976406	51.8292769	PHF15_1
ENST00000439151.2	NSD1	5	1250-1654	176639148	176684148	73	126.7462682	0.575953841	22.79089858	NSD1_2
ENST00000439151.2	NSD1	5	1655-2154	176684149	176719158	43	174.1126959	0.246966482	98.73225459	NSD1_3
ENST00000439151.2	NSD1	5	2155-2223	176719159	176721038	1	25.32035981	0.03949391	23.35985372	NSD1_4
ENST00000296702.5	TCERG1	5	511-1099	145851069	145890205	82	191.6802286	0.427795817	62.75948561	TCERG1_2
ENST00000265085.5	CPEB4	5	457-730	173372056	173383140	22	101.1194448	0.217564486	61.90586346	CPEB4_2
ENST00000230658.7	ISL1	5	1-245	50679506	50685736	50	125.8019161	0.397450226	45.67442738	ISL1_1
ENST00000270349.9	SLC6A3	5	384-449	1414812	1409887	1	20.13124349	0.04967403	32.25794095	SLC6A3_2
ENST00000377255.3	ZKSCAN3	6	1-198	28327364	28331123	34	73.31789708	0.463733977	21.0848523	ZKSCAN3_1
ENST00000375537.4	EHMT2	6	617-1211	31855635	31847861	125	274.5679029	0.455260789	81.4755015	EHMT2_2
ENST00000376033.2	PRRC2A	6	1-113	31590567	31592086	23	51.89602018	0.443193908	16.08948007	PRRC2A_1
ENST00000337659.6	PRPF4B	6	504-1008	4041103	4060850	29	151.4816009	0.191442392	99.03343027	PRPF4B_2
ENST00000244360.6	RNF39	6	1-178	30043566	30043033	44	92.25356886	0.476946318	31.35622023	RNF39_1
ENST00000244360.6	RNF39	6	223-421	30040949	30038888	26	74.75163792	0.347818466	42.58739737	RNF39_3
ENST00000373451.4	CMTR1	6	82-836	37411885	37447921	152	288.6674579	0.526557448	64.70418999	CMTR1_2
ENST00000230449.4	EXOC2	6	1-23	637818	637750	1	10.43350066	0.095845108	14.17695763	EXOC2_1
ENST00000244519.2	BTN3A3	6	1-133	26443803	26444498	1	44.0159524	0.022719036	42.03867143	BTN3A3_1
ENST00000357641.6	BRPF3	6	1076-1206	36193088	36198386	25	54.2532869	0.460801574	19.76718611	BRPF3_3
ENST00000418967.2	CYP21A2	6	1-98	32006200	32006872	0	19.06105351	0	19.06105351	CYP21A2_1
ENST00000418967.2	CYP21A2	6	312-443	32007977	32008752	0	54.13932219	0	54.13932219	CYP21A2_3
ENST00000346618.3	E2F3	6	174-244	20481451	20482999	0	25.28405388	0	50.56810777	E2F3_2
ENST00000374656.4	RING1	6	1-159	33176600	33178956	14	72.36025449	0.193476379	47.06892379	RING1_1
ENST00000538621.1	PACSIN1	6	1-81	34494083	34496441	8	34.8642766	0.229461236	30.17621448	PACSIN1_1
ENST00000538621.1	PACSIN1	6	391-445	34499510	34500307	3	18.81190701	0.159473465	20.60854762	PACSIN1_3
ENST00000397588.3	CDYL	6	270-326	4935865	4937828	0	18.1738733	0	18.1738733	CDYL_2
ENST00000397588.3	CDYL	6	327-545	4937829	4954290	40	86.3038069	0.463478975	24.84296592	CDYL_3
ENST00000374685.4	RXRB	6	177-263	33166196	33165570	6	40.26214178	0.149023369	45.68045777	RXRB_2
ENST00000374685.4	RXRB	6	264-538	33165569	33162459	43	103.0362748	0.417328752	44.91878425	RXRB_3
ENST00000374975.3	HLA-DRB5	6	106-267	32489736	32485516	8	34.4354906	0.232318456	20.29403824	HLA-DRB5_2
ENST00000434837.3	MDGA1	6	1-647	37664587	37615054	149	270.9778064	0.549860529	54.90702524	MDGA1_1
ENST00000230582.3	PRSS16	6	164-345	27218484	27220613	45	105.0777551	0.428254296	43.83208025	PRSS16_2
ENST00000375964.6	BAG6	6	632-932	31610665	31608617	46	101.6512785	0.452527511	38.35513866	BAG6_2
ENST00000341776.2	JARID2	6	1-120	15246771	15452273	17	39.82882038	0.4268266	13.08487259	JARID2_1
ENST00000341776.2	JARID2	6	566-1184	15497152	15517493	94	260.002215	0.361535382	105.9865409	JARID2_3
ENST00000259915.8	POU5F1	6	148-361	31133788	31132378	11	55.53922159	0.198058231	35.71786213	POU5F1_2
ENST00000396634.1	HLA-A	6	197-366	29911290	29913232	31	59.76519201	0.518696568	13.84478563	HLA-A_2
ENST00000374516.3	PHF1	6	134-381	33381035	33382825	36	90.89777474	0.396049299	43.10795556	PHF1_2
ENST00000451343.1	TNXB	6	1-234	32012996	32011641	0	40.49105635	0	40.49105635	TNXB_1
ENST00000451343.1	TNXB	6	498-674	32010237	32009126	2	16.11446341	0.124112107	12.36268762	TNXB_3
ENST00000360359.3	ANKS1A	6	1-270	34857180	34950891	33	82.61826576	0.399427411	29.79937033	ANKS1A_1
ENST00000229795.3	MAPK14	6	1-158	35995935	36041852	23	57.87978719	0.397375338	27.30736997	MAPK14_1
ENST00000229795.3	MAPK14	6	159-227	36041853	36044384	0	22.21632466	0	44.43264933	MAPK14_2
ENST00000377294.2	ZKSCAN4	6	1-142	28219758	28217610	30	72.33021951	0.414764399	24.77315147	ZKSCAN4_1
ENST00000274938.7	SCUBE3	6	1-435	35182196	35209429	94	175.8158073	0.534650447	38.07294933	SCUBE3_1
ENST00000379348.2	PHACTR1	6	1-70	12718977	12749982	10	29.76480774	0.33596723	13.12448004	PHACTR1_1
ENST00000293760.5	LEMD2	6	1-207	33756893	33756273	27	96.41358717	0.280043517	49.97476212	LEMD2_1
ENST00000429299.2	LTB	6	111-245	31548890	31548486	17	70.42063584	0.241406511	40.52454652	LTB_2
ENST00000378454.3	DCDC2	6	1-107	24357978	24353824	26	59.23225823	0.438950004	18.64495834	DCDC2_1
ENST00000356386.2	BTN3A2	6	1-148	26368411	26370560	0	44.20089229	0	44.20089229	BTN3A2_1
ENST00000445902.2	VPS52	6	661-724	33219339	33218618	4	26.73379906	0.149623329	19.33229237	VPS52_2
ENST00000377034.4	GABBR1	6	165-481	29596867	29581143	24	115.8171069	0.207223273	108.0842081	GABBR1_2
ENST00000377034.4	GABBR1	6	482-962	29581142	29571320	87	173.4274729	0.501650624	52.82080746	GABBR1_3
ENST00000287218.4	ZFAND3	6	137-228	38084395	38120165	12	54.40819014	0.22055503	33.0548505	ZFAND3_2
ENST00000293604.6	C6orf136	6	1-213	30615009	30617358	33	76.88682444	0.429202275	31.94906908	C6orf136_1
ENST00000293604.6	C6orf136	6	351-497	30618804	30620692	32	65.09069963	0.491621694	20.73846976	C6orf136_3
ENST00000376389.3	FLOT1	6	1-322	30709966	30698328	55	132.94132	0.413716368	45.69572021	FLOT1_1
ENST00000376630.4	HLA-E	6	19-111	30457363	30457771	13	65.60854212	0.19814493	63.12941406	HLA-E_2
ENST00000374023.3	C6orf106	6	1-219	34664380	34574536	15	76.29910141	0.196594714	49.24802212	C6orf106_1
ENST00000011619.3	RANBP9	6	1-558	13711737	13634784	90	175.8249211	0.51187283	41.89347581	RANBP9_1
ENST00000376656.4	TRIM39	6	1-89	30297095	30297361	6	33.53195236	0.17893381	22.60555522	TRIM39_1
ENST00000376656.4	TRIM39	6	323-519	30308355	30310036	16	81.2802253	0.196849848	52.42982287	TRIM39_4
ENST00000374316.5	ITPR3	6	1-658	33589380	33636379	149	268.2399593	0.555472795	63.27509655	ITPR3_1
ENST00000374316.5	ITPR3	6	2084-2672	33655327	33663557	153	260.7438217	0.586782839	52.35889717	ITPR3_3
ENST00000289361.6	BTN3A1	6	49-152	26406196	26407921	1	34.54008192	0.028951871	32.56903379	BTN3A1_2
ENST00000376511.2	PPP1R10	6	1-509	30577721	30571602	93	181.6383437	0.51200643	52.76492184	PPP1R10_1
ENST00000376511.2	PPP1R10	6	898-941	30569734	30569326	4	17.91315753	0.223299549	15.83238594	PPP1R10_3
ENST00000326195.8	ABCF1	6	206-846	30548234	30558478	137	237.6625586	0.576447551	42.63587319	ABCF1_2
ENST00000368455.4	HSF2	6	1-74	122720883	122733801	4	27.38507715	0.146064953	19.96933696	HSF2_1
ENST00000369622.3	SYNCRIP	6	1-228	86351157	86333813	35	63.31579584	0.552784649	15.13651737	SYNCRIP_1
ENST00000369622.3	SYNCRIP	6	229-345	86333812	86329109	2	38.79393705	0.051554448	61.72740693	SYNCRIP_2
ENST00000369622.3	SYNCRIP	6	346-624	86329108	86324474	53	103.1821015	0.513654977	29.74663316	SYNCRIP_3
ENST00000439399.2	SNAP91	6	1-126	84417646	84371295	22	46.7789897	0.470296604	13.12551499	SNAP91_1
ENST00000367858.5	SGK1	6	239-527	134494280	134491406	60	104.2302668	0.575648531	18.76917867	SGK1_2
ENST00000368911.3	CDK19	6	1-376	111136339	110942556	31	125.985824	0.24605943	71.61366635	CDK19_1
ENST00000373060.1	FOXP4	6	290-582	41555246	41565539	51	126.646564	0.402695489	45.18403395	FOXP4_2
ENST00000485511.1	PPP2R5D	6	1-524	42952416	42978636	67	196.4595136	0.341037188	85.30900521	PPP2R5D_1
ENST00000275034.4	PHIP	6	1-662	79787785	79708002	60	214.4008562	0.279849629	111.1918339	PHIP_1
ENST00000357338.3	DLK2	6	1-79	43422563	43420777	5	25.69717188	0.194573941	16.67004159	DLK2_1
ENST00000368068.3	MED23	6	217-1136	131940985	131913591	101	272.8832068	0.370121713	108.2654999	MED23_2
ENST00000368761.5	TRAF3IP2	6	414-566	111894148	111880608	22	54.59161026	0.402992326	19.45744143	TRAF3IP2_2
ENST00000368986.4	NR2E1	6	6-71	108487985	108496081	2	32.74042851	0.061086555	50.2990031	NR2E1_2
ENST00000368986.4	NR2E1	6	72-386	108496082	108508667	63	126.7184922	0.497165006	39.38398825	NR2E1_3
ENST00000306270.7	IBTK	6	1-320	82950203	82933321	50	89.13362198	0.560955551	17.18139952	IBTK_1
ENST00000370598.1	BAI3	6	905-1143	69949017	70049366	34	80.50804532	0.422318041	34.40032206	BAI3_2
ENST00000341376.6	NFYA	6	48-322	41048616	41062212	25	86.39382867	0.289372521	60.78563629	NFYA_2
ENST00000372165.4	RSPH9	6	1-82	43612836	43618130	24	51.25411828	0.468255055	14.49223961	RSPH9_1
ENST00000369037.4	PDSS2	6	1-70	107780489	107780280	15	41.79698539	0.358877557	17.18014874	PDSS2_1
