transcript	gene	chr	n_coding_exons	cds_start	cds_end	bp	amino_acids	low_depth_exons	obs_mis	exp_mis	obs_exp	overall_chisq	n_regions	mis_z	pLI
ENST00000280190.4	WDR17	4	30	177017670	177100730	3969	1323	.	410	379.4665745	1.080464071	2.456843731	1	-0.76685168	7.02E-16
ENST00000280191.2	SPATA4	4	6	177105930	177116713	918	306	.	110	101.1971719	1.086986899	0.76573072	1	-0.428404894	0.000481542
ENST00000296525.3	ASB5	4	7	177136750	177190259	990	330	.	126	108.5992273	1.16022925	2.788112758	1	-0.816576474	1.83E-11
ENST00000503362.1	SPCS3	4	5	177241227	177249481	543	181	3	21	61.95187781	0.338972776	27.07030611	1	2.548390757	0.697040879
ENST00000280193.2	VEGFC	4	7	177605076	177713465	1263	421	.	124	148.736094	0.833691384	4.11382556	1	0.995526326	0.115230709
ENST00000264596.3	NEIL3	4	10	178231107	178283625	1818	606	.	209	200.8551625	1.0405508	0.330279676	1	-0.284178178	3.55E-07
ENST00000264595.2	AGA	4	9	178352861	178363529	1041	347	.	127	118.3108828	1.073443093	0.638155647	1	-0.424350656	0.000640804
ENST00000507870.1	RP11-389E17.1	4	4	178882003	178911662	330	110	2	27	20.10596596	1.342884995	2.363860825	1	-0.773570294	0.010372263
ENST00000511685.1	TENM3	4	27	183245173	183721504	8100	2700	.	748	939.8533158	0.795868874	39.16323342	2	3.05515708	0.999937944
ENST00000357067.3	DCTD	4	6	183812551	183838466	570	190	1	63	66.90611927	0.941617907	0.228047418	1	0.233298389	1.64E-05
ENST00000403733.3	WWC2	4	23	184020644	184236882	3579	1193	1	369	291.735934	1.264842472	20.46280627	1	-2.217340064	2.48E-05
ENST00000323319.5	CLDN22	4	1	184240708	184241371	663	221	.	58	61.42123079	0.944298889	0.190566356	1	0.213520466	0.000437371
ENST00000541814.1	CLDN24	4	1	184242916	184243579	663	221	.	33	53.50743533	0.616736717	7.859746993	1	1.371263211	0.000259988
ENST00000504169.1	CDKN2AIP	4	3	184365950	184368580	1743	581	.	171	183.5369714	0.931692392	0.856370526	2	0.456651025	0.987251416
ENST00000302327.3	ING2	4	2	184426348	184432105	843	281	.	52	87.60715981	0.593558793	14.47221703	1	1.856700346	0.283379994
ENST00000326397.5	RWDD4	4	8	184562588	184580105	567	189	.	52	58.91589826	0.882614057	0.811829238	1	0.440705935	0.482983522
ENST00000334690.6	TRAPPC11	4	29	184585020	184633797	3402	1134	.	333	338.4191044	0.983987002	0.086776106	1	0.143585632	0.000208772
ENST00000308497.4	STOX2	4	4	184827943	184938437	2781	927	.	263	290.93141	0.903993144	2.681606862	1	0.797063577	0.963216442
ENST00000296741.2	ENPP6	4	8	185012329	185138972	1323	441	.	187	170.3112951	1.097989419	1.635316508	1	-0.625485388	6.11E-07
ENST00000393593.3	IRF2	4	8	185309911	185350218	1050	350	.	70	139.0103945	0.503559466	34.25955709	1	2.862907716	0.382047181
ENST00000308394.4	CASP3	4	6	185550425	185559607	834	278	.	58	91.2551855	0.63558032	12.11884406	1	1.701827502	0.184808405
ENST00000314970.6	PRIMPOL	4	12	185578294	185615933	1683	561	.	193	152.8431311	1.262732572	10.55051742	1	-1.584175045	2.79E-13
ENST00000281453.5	MLF1IP	4	13	185616441	185655216	1257	419	.	158	125.8807805	1.255155866	8.19540725	1	-1.39841812	0.000144352
ENST00000515030.1	ACSL1	4	20	185678278	185724668	2097	699	.	212	248.7481969	0.852267484	5.428903587	1	1.135995575	0.091837331
ENST00000338875.4	HELT	4	4	185940082	185941926	984	328	.	135	164.0901551	0.822718462	5.157147432	1	1.10748871	0.047397709
ENST00000281456.6	SLC25A4	4	4	186064526	186068125	897	299	.	52	103.2011328	0.503870438	25.40239558	1	2.465675284	0.483364233
ENST00000458385.2	KIAA1430	4	4	186083951	186112350	1599	533	.	184	135.6897468	1.356034663	17.20012471	1	-2.029916491	0.00107218
ENST00000504273.1	SNX25	4	18	186168510	186284619	2523	841	.	248	250.3402174	0.990651852	0.021876699	1	0.072344262	5.35E-05
ENST00000328559.7	LRP2BP	4	8	186288333	186299340	1044	348	.	110	114.414365	0.961417738	0.170316184	1	0.201858831	1.10E-06
ENST00000335174.4	ANKRD37	4	5	186318077	186321171	477	159	.	57	54.46159295	1.046609122	0.118312925	1	-0.168936744	0.005704852
ENST00000264689.6	UFSP2	4	12	186321545	186347022	1410	470	.	163	144.1481072	1.130781411	2.465477141	1	-0.769564506	6.11E-06
ENST00000307588.3	CCDC110	4	7	186366655	186392837	2502	834	.	246	219.6487786	1.119969806	3.161350918	1	-0.871411744	1.35E-08
ENST00000512874.1	RP11-279O9.4	4	2	186392695	186393391	342	114	2	17	27.67903406	0.614183283	4.120149867	1	0.988302333	0.086037532
ENST00000284770.5	PDLIM3	4	8	186423447	186456588	1095	365	.	147	146.1699088	1.005678947	0.004714044	1	-0.03542916	9.37E-08
ENST00000355634.5	SORBS2	4	21	186508780	186611725	3603	1201	"1,2,3,4"	404	420.0422668	0.96180797	0.612686736	1	0.380663243	0.088806284
ENST00000296795.3	TLR3	4	4	186997773	187006027	2715	905	.	259	249.6660466	1.037385754	0.348956888	1	-0.28947404	0.001211245
ENST00000227065.4	FAM149A	4	11	187073113	187093141	1449	483	.	218	198.6944353	1.09716208	1.87576883	1	-0.669895323	0.00644453
ENST00000378802.4	CYP4V2	4	11	187112977	187131795	1578	526	.	211	184.8099761	1.141713258	3.711473628	1	-0.944777894	0.000200713
ENST00000264690.6	KLKB1	4	14	187149349	187179366	1917	639	.	205	192.1695766	1.066766153	0.85663802	1	-0.454013087	4.76E-11
ENST00000403665.2	F11	4	14	187188290	187209768	1878	626	.	229	210.6061786	1.08733752	1.606470753	1	-0.621572555	1.91E-22
ENST00000307161.5	MTNR1A	4	2	187454842	187476519	1053	351	.	122	135.5208805	0.900230279	1.348974476	1	0.56856733	0.003032392
ENST00000441802.2	FAT1	4	26	187509745	187630981	13767	4589	.	1743	1600.850214	1.088796431	12.62239376	1	-1.758280731	1.78E-10
ENST00000326866.4	ZFP42	4	1	188923961	188924894	933	311	.	124	115.2290942	1.076117112	0.66761602	1	-0.399649739	0.004753298
ENST00000512729.1	TRIML2	4	7	189012526	189026372	1164	388	.	141	125.1253565	1.126869917	2.014014704	1	-0.694139111	8.26E-10
ENST00000332517.3	TRIML1	4	6	189060712	189068526	1407	469	.	193	155.6384456	1.240053505	8.968772068	1	-1.46654359	9.17E-11
ENST00000226798.4	FRG1	4	9	190862164	190884284	777	259	.	64	72.92117707	0.877659996	1.091416836	1	0.512835089	3.67E-06
ENST00000378763.1	FRG2	4	4	190946715	190948359	837	279	"1,2,4"	1	7.432775949	0.134539236	5.567315186	1	1.158997765	0.431237853
ENST00000283426.6	PLEKHG4B	5	18	140422	182438	3816	1272	.	527	473.0227209	1.114111388	6.159422229	1	-1.218584997	7.81E-20
ENST00000328278.3	LRRC14B	5	2	191653	195468	1545	515	.	185	194.9531791	0.948945797	0.508151621	1	0.348789009	3.31E-09
ENST00000296824.3	CCDC127	5	2	205411	216964	783	261	.	83	99.24036733	0.836353212	2.657683946	2	0.791282109	0.020957492
ENST00000264932.6	SDHA	5	15	218470	256535	1995	665	.	201	280.5643195	0.716413264	22.56338564	1	2.321473358	9.39E-06
ENST00000264933.4	PDCD6	5	6	271835	314630	576	192	.	57	95.37279498	0.597654709	15.43911338	3	1.922459002	0.714212209
ENST00000316418.5	AHRR	5	12	304334	434949	2160	720	.	265	291.36674	0.909506692	2.386013516	2	0.754920931	6.76E-05
ENST00000408966.2	C5orf55	5	1	442577	442937	360	120	.	45	60.87902654	0.73917082	4.141713464	1	0.995420462	0.053082062
ENST00000512944.1	EXOC3	5	12	446320	467013	2238	746	.	196	275.5931079	0.711193402	22.9870147	1	2.34035969	0.755230038
ENST00000264938.3	SLC9A3	5	17	473493	524437	2505	835	.	239	368.6781724	0.648261866	45.61275837	2	3.278770403	0.988153998
ENST00000264935.5	CEP72	5	12	612476	653268	1944	648	1	282	240.8485863	1.170860101	7.031134687	1	-1.303319042	1.06E-09
ENST00000360578.5	TPPP	5	3	665216	678175	660	220	.	77	107.5652366	0.715844658	8.685275284	1	1.4436131	0.447860539
ENST00000508859.2	ZDHHC11B	5	10	716922	767067	1149	383	.	121	119.011434	1.016709033	0.033227016	3	-0.095130961	0.043228373
ENST00000283441.8	ZDHHC11	5	12	801221	850717	1239	413	.	134	152.4970661	0.87870543	2.243593692	3	0.732135478	5.60E-11
ENST00000467963.1	BRD9	5	16	864582	892772	1794	598	"1,2"	151	184.5670549	0.818130842	6.104812013	1	1.199573429	0.249187874
ENST00000166345.3	TRIP13	5	13	893113	917218	1299	433	.	97	149.6230723	0.648295738	18.50775881	1	2.10469299	0.968635141
ENST00000296849.5	NKD2	5	10	1009172	1038488	1356	452	"2,3"	183	150.4503982	1.216347728	7.042032398	1	-1.287882878	2.36E-05
ENST00000264930.5	SLC12A7	5	24	1052474	1112106	3252	1084	.	440	516.8982092	0.851231427	11.44003687	1	1.645722292	8.45E-11
ENST00000304460.10	SLC6A19	5	12	1201765	1222019	1905	635	.	264	276.6726628	0.954196187	0.580456276	1	0.370855173	8.52E-18
ENST00000324642.3	SLC6A18	5	12	1225592	1246193	1887	629	.	271	270.8779994	1.00045039	5.49E-05	1	-0.004368848	1.67E-22
ENST00000310581.5	TERT	5	16	1253842	1295104	3399	1133	.	190	469.3133412	0.404846791	166.2342315	1	6.297077448	0.866151189
ENST00000320895.5	CLPTM1L	5	17	1318483	1344956	1617	539	.	174	209.3172578	0.831274028	5.95893865	1	1.19575311	0.311319339
ENST00000270349.9	SLC6A3	5	14	1394849	1443312	1863	621	.	157	261.7408664	0.599829909	41.91416207	3	3.181502164	0.997036902
ENST00000283415.3	LPCAT1	5	14	1463765	1523959	1605	535	1	170	234.120738	0.726121067	17.56131933	1	2.048104584	0.813682374
ENST00000508987.1	MRPL36	5	1	1798737	1799049	312	104	.	52	46.03112854	1.129670326	0.773985511	1	-0.430311308	0.254818113
ENST00000274137.5	NDUFS6	5	4	1801531	1816030	375	125	.	61	59.06052688	1.032838737	0.063689848	1	-0.126763175	0.000262201
ENST00000505790.1	IRX4	5	5	1878082	1882761	1560	520	.	140	209.7629244	0.667420138	23.20174377	1	2.365888241	0.253769011
ENST00000382611.6	IRX2	5	4	2747677	2751527	1416	472	.	135	227.4973709	0.593413451	37.60818679	2	2.994498301	0.648697597
ENST00000334000.3	C5orf38	5	4	2752378	2755155	417	139	.	50	57.12914256	0.875210055	0.889645308	1	0.467646674	0.162071502
ENST00000274181.7	ADAMTS16	5	23	5140580	5319251	3675	1225	.	456	455.6233812	1.000826601	0.000311313	1	-0.022317458	0.001086503
ENST00000296564.7	KIAA0947	5	19	5423028	5489443	6801	2267	.	678	614.1264611	1.104007143	6.643304327	1	-1.263630315	0.99999761
ENST00000255764.3	MED10	5	4	6372615	6378596	408	136	.	38	46.94816102	0.809403376	1.705489285	2	0.635821586	0.039721058
ENST00000264670.6	NSUN2	5	19	6600038	6633092	2304	768	.	266	262.6755638	1.012656054	0.042074244	3	-0.096434974	0.961845836
ENST00000274192.5	SRD5A1	5	5	6633689	6668381	780	260	.	80	114.2497148	0.700220566	10.26736012	1	1.571075922	1.82E-06
ENST00000230859.6	PAPD7	5	12	6737656	6755058	1629	543	.	142	211.8643376	0.670240219	23.03844866	2	2.346679807	0.998369134
ENST00000338316.4	ADCY2	5	25	7396409	7826984	3276	1092	.	211	434.9402828	0.48512407	115.3014614	2	5.251655966	0.999995486
ENST00000399810.2	C5orf49	5	3	7831962	7851134	444	148	.	63	62.16991849	1.013351819	0.011083098	1	-0.050957624	0.346800141
ENST00000264669.5	FASTKD3	5	6	7859547	7868196	1989	663	.	184	189.7652072	0.969619261	0.175151257	1	0.205471472	2.49E-10
ENST00000264668.2	MTRR	5	15	7869246	7900171	2178	726	.	284	237.1144965	1.197733602	9.270839479	1	-1.489278619	4.11E-07
ENST00000382496.5	SEMA5A	5	21	9043008	9380058	3225	1075	.	371	443.3774053	0.836758923	11.81496562	1	1.679431559	0.000979594
ENST00000382492.2	TAS2R1	5	1	9629244	9630144	900	300	.	114	86.63310899	1.315894135	8.64504036	1	-1.438136014	0.24158113
ENST00000511437.1	FAM173B	5	5	10227552	10249985	702	234	.	106	94.33130493	1.123699074	1.443406774	1	-0.588706449	2.44E-07
ENST00000280326.4	CCT5	5	11	10250452	10264895	1626	542	.	162	193.3450667	0.837880184	5.081656464	1	1.1012817	0.998786782
ENST00000296658.3	CMBL	5	5	10280564	10290874	738	246	.	101	78.78659859	1.281943907	6.262933175	1	-1.224068014	0.007765304
ENST00000274140.5	MARCH6	5	26	10354010	10433796	2733	911	.	162	301.6197702	0.537100071	64.62998174	2	3.92972226	0.999995976
ENST00000503804.1	ROPN1L	5	5	10442279	10465059	693	231	.	93	95.75705697	0.971207793	0.079381754	1	0.137808906	0.001635436
ENST00000230895.6	DAP	5	4	10681167	10761180	309	103	.	32	32.69370598	0.978781666	0.014719285	1	0.008217549	0.000324904
ENST00000304623.8	CTNND2	5	22	10973564	11903965	3678	1226	.	330	506.7310398	0.651233049	61.63794591	3	3.836543412	0.999999952
ENST00000265104.4	DNAH5	5	79	13692092	13944547	13875	4625	.	1656	1517.149527	1.091520625	12.70768211	1	-1.746008428	5.79E-37
ENST00000344204.4	TRIO	5	57	14143834	14508531	9294	3098	1	708	1143.43374	0.619187606	165.8185653	2	6.287115625	1
ENST00000274217.3	FAM105A	5	8	14582003	14610423	1071	357	1	96	97.36895595	0.98594053	0.019246796	1	0.062460792	2.33E-07
ENST00000284274.4	FAM105B	5	7	14664934	14693157	1059	353	.	57	113.5961977	0.501777358	28.19750714	1	2.593737195	0.969681278
ENST00000284268.6	ANKH	5	12	14711305	14871556	1479	493	.	117	198.9805041	0.587997304	33.77618872	2	2.840574289	0.167376866
ENST00000504595.1	FBXL7	5	4	15500785	15937295	1476	492	.	135	238.9513107	0.564968652	45.22207876	1	3.292599351	0.200106852
ENST00000332432.8	MARCH11	5	4	16067579	16179684	1209	403	1	53	65.00326065	0.815343715	2.216477524	1	0.726181382	0.002466243
ENST00000308683.2	ZNF622	5	6	16451765	16465774	1434	478	.	168	200.2929549	0.838771389	5.206548276	1	1.116068188	0.088803853
ENST00000306320.9	FAM134B	5	9	16474849	16617080	1494	498	.	114	136.7307834	0.833755188	3.778874831	1	0.95978274	0.005651396
ENST00000513610.1	MYO10	5	41	16666800	16935917	6177	2059	.	704	718.7506897	0.979477321	0.302723669	1	0.263481224	0.00396952
ENST00000322611.3	BASP1	5	1	17275325	17276009	684	228	.	65	87.01175535	0.747025499	5.568412814	1	1.154205017	0.539222353
ENST00000507958.1	CDH18	5	11	19473334	19839095	2373	791	.	267	252.0543083	1.059295522	0.886212583	1	-0.460002947	0.46392646
ENST00000382254.1	CDH12	5	11	21751845	22078785	2385	795	.	238	263.1624595	0.904384312	2.405925864	1	0.758679279	0.001451194
ENST00000296682.3	PRDM9	5	10	23509142	23527882	2685	895	.	299	284.5779481	1.05067874	0.730891419	1	-0.418161813	1.95E-22
ENST00000264463.4	CDH10	5	11	24487771	24593599	2367	789	.	193	263.0419115	0.733723378	18.65052356	1	2.112330797	0.309152977
ENST00000231021.4	CDH9	5	11	26881244	26988440	2370	790	.	202	265.5866987	0.760580259	15.22391094	1	1.909137102	0.99248359
ENST00000265071.2	CDH6	5	11	31267580	31323415	2373	791	.	187	270.3341079	0.691736612	25.68885442	1	2.479070001	0.980834799
ENST00000511367.2	DROSHA	5	33	31401538	31529166	4125	1375	4	272	440.1768885	0.617933397	64.25477248	2	3.91584371	0.996399648
ENST00000325366.9	C5orf22	5	9	31532499	31553009	1329	443	.	145	133.5214395	1.085967921	0.986787985	1	-0.485876607	0.169565363
ENST00000438447.1	PDZD2	5	24	31799355	32108241	8520	2840	.	969	1010.410622	0.959016047	1.697170997	3	0.636125538	0.999645171
ENST00000265070.6	GOLPH3	5	4	32126317	32174140	897	299	.	64	118.5768288	0.539734454	25.11983387	2	2.451064699	0.014365491
ENST00000382142.3	MTMR12	5	16	32229883	32312944	2244	748	.	170	234.7052185	0.724312826	17.83839885	1	2.047069384	0.997884435
ENST00000265069.8	ZFR	5	20	32355865	32444764	3225	1075	.	188	347.4186457	0.541133881	73.15181531	3	4.184177877	0.99999967
ENST00000265073.4	SUB1	5	4	32588618	32601190	384	128	.	19	35.09161166	0.541439937	7.378970456	2	1.328398524	0.800760314
ENST00000326958.1	AC026703.1	5	1	32789507	32789873	366	122	.	40	31.61148259	1.265362986	2.226002029	1	-0.729757964	0.451936608
ENST00000455217.2	TARS	5	20	33441192	33467813	2271	757	4	228	236.6583333	0.963414205	0.316772006	1	0.272956609	1.19E-09
ENST00000504830.1	ADAMTS12	5	24	33527292	33891961	4785	1595	.	550	539.1015374	1.020215974	0.220323036	1	-0.230051214	1.54E-11
ENST00000330120.3	RXFP3	5	1	33936845	33938255	1410	470	.	179	258.2668413	0.693081617	24.32845073	1	2.412536799	2.31E-11
ENST00000296589.4	SLC45A2	5	7	33944752	33984688	1593	531	.	224	181.6050956	1.233445566	9.896902467	1	-1.539513053	7.86E-05
ENST00000382085.3	AMACR	5	6	33988412	34008124	1185	395	.	141	151.4564923	0.930960422	0.721911819	2	0.400703811	0.125255655
ENST00000382065.3	C1QTNF3	5	6	34020687	34043230	960	320	.	81	100.4033063	0.806746341	3.749759948	1	0.94582983	0.000296344
ENST00000515799.1	RAI14	5	17	34688308	34830870	2952	984	1	271	269.9656699	1.003831339	0.003962869	1	-0.023614039	0.487656416
ENST00000505624.1	TTC23L	5	9	34840776	34896883	1086	362	.	108	98.90841244	1.091919255	0.835691954	1	-0.451294796	2.22E-09
ENST00000382038.2	RAD1	5	5	34908869	34914997	849	283	.	91	81.00721713	1.123356699	1.232676704	1	-0.544354285	0.000186646
ENST00000336767.5	BRIX1	5	10	34915843	34925600	1062	354	.	104	110.0167885	0.94531027	0.329056538	1	0.279148354	0.981126894
ENST00000382021.2	DNAJC21	5	13	34929924	34954819	1731	577	.	216	185.8894133	1.161981181	4.877348409	1	-1.082417851	1.45E-05
ENST00000231420.6	AGXT2	5	14	34998823	35047997	1545	515	.	184	163.0451352	1.128521865	2.693158306	1	-0.800697328	4.67E-15
ENST00000382002.5	PRLR	5	8	35065190	35089722	1869	623	.	203	180.0018884	1.127765946	2.938375495	1	-0.838435864	0.916128016
ENST00000356031.3	SPEF2	5	37	35618099	35814655	5469	1823	.	654	517.2069089	1.264484269	36.17962067	1	-2.946274858	2.03E-16
ENST00000303115.3	IL7R	5	8	35857079	35876588	1380	460	.	183	132.4071445	1.382100646	19.3315628	1	-2.150554033	3.72E-06
ENST00000397367.2	CAPSL	5	4	35904646	35921222	627	209	.	93	69.64228343	1.335395616	7.834075745	1	-1.369021316	0.000440615
ENST00000274278.3	UGT3A1	5	7	35954303	35991342	1572	524	.	198	153.3406656	1.291242602	13.00670076	1	-1.764353007	5.21E-10
ENST00000282507.3	UGT3A2	5	7	36035799	36066891	1572	524	.	192	158.5251291	1.211164445	7.068702523	1	-1.300897448	2.94E-10
ENST00000296603.4	LMBRD2	5	17	36104147	36143451	2088	696	.	170	200.1039141	0.849558594	4.528875151	1	1.035339658	0.014565218
ENST00000274255.6	SKP2	5	10	36152364	36182133	1275	425	.	101	140.9271483	0.716682351	11.31206579	1	1.645083265	0.994258761
ENST00000381937.4	NADK2	5	12	36195245	36241900	1329	443	.	89	140.8882579	0.631706299	19.11011851	2	2.141655448	0.907647887
ENST00000502994.1	RANBP3L	5	15	36249755	36301518	1473	491	5	140	128.724318	1.087595585	0.987699964	1	-0.487549223	1.13E-10
ENST00000265113.4	SLC1A3	5	9	36608525	36686371	1629	543	.	145	189.7535907	0.764148913	10.55518304	1	1.589093628	0.432519796
ENST00000282516.8	NIPBL	5	46	36953798	37064994	8415	2805	.	507	799.190395	0.634392009	106.8271434	3	5.043372931	1
ENST00000425232.2	C5orf42	5	51	37107703	37247800	9594	3198	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"	610	578.9040141	1.053715271	1.670329308	1	-0.635127745	6.32E-19
ENST00000231498.3	NUP155	5	35	37292001	37371079	4176	1392	.	424	412.1618019	1.028722211	0.34001922	1	-0.28573042	0.990594276
ENST00000265107.4	WDR70	5	18	37379469	37752675	1965	655	.	153	233.6096588	0.654938673	27.81527583	3	2.579243565	0.802235273
ENST00000427982.1	GDNF	5	3	37815752	37835760	687	229	1	67	94.29152153	0.710562296	7.89919534	1	1.367713369	0.698672292
ENST00000354891.3	EGFLAM	5	23	38258856	38464088	3054	1018	.	398	362.8980677	1.096726699	3.395294055	1	-0.93580001	9.38E-10
ENST00000263409.4	LIFR	5	19	38481696	38530749	3294	1098	.	358	323.4849407	1.106697577	3.682673186	1	-0.939466934	0.001006843
ENST00000274276.3	OSMR	5	17	38869146	38933546	2940	980	.	311	281.2681824	1.105706295	3.142840296	1	-0.867064089	3.10E-11
ENST00000357387.3	RICTOR	5	38	38942405	39074479	5127	1709	.	376	514.1389287	0.731319842	37.11518922	2	2.978496114	1
ENST00000540520.1	FYB	5	19	39107544	39270673	2520	840	"1,7"	290	207.0570172	1.4005804	33.22533328	1	-2.826989606	0.792005859
ENST00000263408.4	C9	5	11	39285300	39364566	1680	560	.	215	172.3949358	1.247136402	10.52926227	1	-1.587125461	6.82E-17
ENST00000320816.6	DAB2	5	13	39375120	39394422	2313	771	.	265	231.2943785	1.145726073	4.911787854	1	-1.0841996	0.980417114
ENST00000302472.3	PTGER4	5	2	40681095	40692480	1467	489	.	114	237.6954021	0.479605407	64.37041846	2	3.924276773	0.896912957
ENST00000337702.4	TTC33	5	4	40716246	40747120	789	263	.	75	75.97699412	0.987140922	0.012563244	1	0.053837512	0.022618545
ENST00000354209.3	PRKAA1	5	10	40762879	40798291	1725	575	.	106	175.2902803	0.604711224	27.38967004	3	2.558951815	0.035101034
ENST00000274242.5	RPL37	5	4	40832605	40835287	294	98	.	30	49.94828773	0.60062119	7.966923424	1	1.38058078	0.577671288
ENST00000254691.5	CARD6	5	3	40841484	40854548	3114	1038	.	355	277.6081804	1.278780761	21.57535034	1	-2.27193176	1.46E-16
ENST00000313164.9	C7	5	18	40909712	40981675	2532	844	.	308	228.5717709	1.347497982	27.60114932	1	-2.571523084	1.26E-11
ENST00000399564.4	MROH2B	5	42	40998153	41070954	4758	1586	22	539	409.6083101	1.315891272	40.87370548	1	-3.133150772	1.29E-26
ENST00000263413.3	C6	5	17	41142926	41203332	2805	935	.	348	280.4869994	1.240699215	16.25032628	1	-1.971730484	1.20E-14
ENST00000377801.3	PLCXD3	5	3	41313718	41510628	966	322	.	103	93.91509392	1.096735314	0.878831241	1	-0.460348049	0.048488739
ENST00000196371.5	OXCT1	5	17	41731830	41870460	1563	521	.	104	175.1373338	0.593819706	28.89458317	1	2.628813559	0.267382737
ENST00000381647.2	C5orf51	5	6	41904469	41917401	885	295	.	83	79.19865329	1.047997618	0.182455588	1	-0.211448388	0.0038889
ENST00000281623.3	FBXO4	5	7	41925411	41941383	1164	388	1	91	88.54839139	1.027686653	0.067876838	1	-0.127431713	7.11E-05
ENST00000230882.4	GHR	5	9	42565976	42719526	1917	639	.	213	177.8548239	1.197605976	6.94489684	1	-1.290215607	0.000232177
ENST00000514985.1	SEPP1	5	4	42800821	42808455	1146	382	.	126	108.7131998	1.159012891	2.748824071	1	-0.8540501	3.00E-08
ENST00000314890.3	ANXA2R	5	1	43039566	43040148	582	194	.	65	81.04528508	0.802020746	3.176633572	1	0.871766381	3.08E-06
ENST00000509634.1	ZNF131	5	7	43122155	43175235	1770	590	.	122	176.7542555	0.690223834	16.96156334	3	2.014611063	0.999460222
ENST00000512796.1	NIM1	5	3	43245877	43280831	1311	437	.	169	160.0863512	1.055680255	0.496314238	1	-0.344581819	5.81E-09
ENST00000325110.6	HMGCS1	5	9	43291232	43299067	1563	521	.	85	150.546406	0.564609958	28.53825246	2	2.612944153	0.972848684
ENST00000361115.4	CCL28	5	3	43381961	43412418	384	128	.	46	43.70919526	1.052410133	0.120061381	1	-0.171653867	0.281065701
ENST00000500337.2	C5orf28	5	2	43446323	43454071	648	216	.	88	69.02100733	1.274974148	5.218732333	1	-1.117374908	1.49E-05
ENST00000306862.2	C5orf34	5	12	43487016	43509441	1917	639	.	231	167.7288051	1.37722319	23.86736198	1	-2.391095232	9.91E-11
ENST00000306846.3	PAIP1	5	11	43527477	43556948	1440	480	1	91	112.1196985	0.811632579	3.97826314	1	0.970850322	0.994278972
ENST00000264663.5	NNT	5	21	43609297	43704506	3261	1087	.	301	334.8245295	0.898978341	3.417010086	1	0.903358069	0.999550477
ENST00000264664.4	FGF10	5	3	44305096	44388784	627	209	.	45	64.44680952	0.698250237	5.868070171	2	1.184516256	0.858814552
ENST00000507110.1	MRPS30	5	5	44809064	44815304	1320	440	.	180	187.5713779	0.959634684	0.305621064	1	0.2679727	5.58E-05
ENST00000303230.4	HCN1	5	8	45262022	45696195	2673	891	.	139	335.4167016	0.414409895	115.019677	2	5.246715473	0.953138503
ENST00000303221.5	EMB	5	9	49695106	49736985	984	328	1	84	77.02154531	1.09060393	0.632275419	1	-0.342861274	6.39E-05
ENST00000281631.5	PARP8	5	26	49962929	50137902	2565	855	.	202	257.8022321	0.783546358	12.07859639	2	1.699472597	0.119242934
ENST00000230658.7	ISL1	5	6	50679505	50689444	1050	350	.	85	157.481486	0.539745986	33.35989486	2	2.822987727	0.60613579
ENST00000282588.6	ITGA1	5	29	52084187	52248281	3540	1180	.	357	350.2928192	1.019147354	0.128424767	1	-0.179010062	0.002375685
ENST00000274311.2	PELO	5	2	52096228	52097674	1158	386	.	112	156.0767658	0.717595598	12.4474727	1	1.72566842	0.590624889
ENST00000296585.5	ITGA2	5	30	52285298	52386429	3546	1182	.	338	341.3554389	0.990170249	0.032983127	1	0.08654526	9.23E-09
ENST00000396954.3	MOCS2	5	5	52394431	52403004	567	189	.	72	52.58165344	1.369298896	7.171173941	1	-1.312749915	0.04045185
ENST00000256759.3	FST	5	6	52776621	52781863	1035	345	.	53	117.840194	0.449761649	35.67756141	1	2.917061811	0.963797332
ENST00000296684.5	NDUFS4	5	5	52856492	52979051	528	176	.	73	56.65500942	1.288500359	4.715535657	1	-1.062139765	0.004164996
ENST00000504924.1	ARL15	5	5	53182390	53606309	615	205	.	47	52.32753852	0.898188627	0.542404009	1	0.356520416	0.008866422
ENST00000302005.1	HSPB3	5	1	53751619	53752072	453	151	.	56	50.79890953	1.102385869	0.532518166	1	-0.356930488	0.000440374
ENST00000381405.4	ESM1	5	3	54275159	54281345	555	185	.	45	74.80413739	0.601571004	11.87483255	1	1.685505442	0.026176218
ENST00000231009.2	GZMK	5	5	54320150	54329754	795	265	.	93	76.95365798	1.208519549	3.345975996	1	-0.894432384	0.000569041
ENST00000274306.6	GZMA	5	5	54398510	54406010	789	263	.	96	79.95981129	1.200603134	3.217712121	1	-0.877384128	3.24E-07
ENST00000381375.2	CDC20B	5	12	54410045	54468828	1560	520	.	165	172.9291118	0.954148196	0.363564079	1	0.294256327	1.44E-11
ENST00000503787.1	GPX8	5	3	54456020	54460046	630	210	.	46	58.99108067	0.7797789	2.860910075	1	0.82730996	0.019066229
ENST00000282572.4	CCNO	5	3	54527202	54529351	1053	351	.	122	158.3422874	0.770482743	8.341182101	1	1.407586283	0.040710125
ENST00000251636.5	DHX29	5	27	54552315	54603401	4110	1370	.	352	382.755131	0.919648024	2.471235542	1	0.740178839	0.003527316
ENST00000230640.5	SKIV2L2	5	27	54603841	54720600	3129	1043	.	230	322.1538281	0.713944644	26.36109612	3	2.507529174	0.725400925
ENST00000264775.5	PPAP2A	5	6	54721033	54830457	858	286	.	77	86.457641	0.890609541	1.034575687	1	0.493219707	0.799472952
